device_type,state,english_phrase,assistant_response,english_phrase_vi,assistant_response_vi
light,off,Is the <device_name> on,No the <device_name> is off right now,Là người giữ chỗ_0 trên,Không có trình giữ chỗ_0 đã tắt ngay bây giờ
fan,on,Is the <device_name> off,Actually the <device_name> is on at the moment,Là người giữ chỗ_0 tắt,"Trên thực tế, người giữ chỗ_0 đang ở vào lúc này"
fan,off,Is the <device_name> blowing air,Sorry the <device_name> is currently off,Là người giữ chỗ_0 thổi không khí,"Xin lỗi, người giữ chỗ_0 hiện đang tắt"
lock,locked,Is the <device_name> unlocked,No the <device_name> is currently locked,Người giữ chỗ có được mở khóa không,Không có trình giữ chỗ_0 hiện đang bị khóa
lock,unlocked,Is the <device_name> locked,No the <device_name> is currently unlocked,Người giữ chỗ_0 có bị khóa không,Không có trình giữ chỗ_0 hiện đang được mở khóa
garage_door,open,Is the <device_name> closed,No the <device_name> is currently open,Người giữ chỗ có bị đóng không,Không có trình giữ chỗ_0 hiện đang mở
garage_door,closed,Is the <device_name> open,No the <device_name> is currently closed,Người giữ chỗ có mở không,Không có chỗ giữ chỗ_0 hiện đang đóng cửa
blinds,open,Are the <device_name> closed,No the <device_name> are currently open,Người giữ chỗ có bị đóng không,Không có trình giữ chỗ_0 hiện đang mở
blinds,closed,Are the <device_name> open,No the <device_name> are currently closed,Người giữ chỗ có mở không,Không có chỗ giữ chỗ_0 hiện đang đóng cửa
light,on,Uh can you check if the <device_name> is off,No the <device_name> is actually on,Uh bạn có thể kiểm tra xem người giữ chỗ_0 có tắt không,Không có trình giữ chỗ_0 thực sự
light,off,Hey is the <device_name> shining,No the <device_name> is currently off,Này là người giữ chỗ_0 tỏa sáng,Không có trình giữ chỗ_0 hiện đang tắt
fan,on,Is the <device_name> taking a break,No the <device_name> is on right now,Là người giữ chỗ_0 đang nghỉ ngơi,Không có trình giữ chỗ_0 đang ở ngay bây giờ
fan,off,Is the <device_name> whirling away,No the <device_name> is off at the moment,Là người giữ chỗ_0 quay cuồng,Không có chỗ giữ chỗ_0 đang tắt vào lúc này
lock,unlocked,Is the <device_name> bolted,No the <device_name> is currently unlocked,Người giữ chỗ có bị bắt vít không,Không có trình giữ chỗ_0 hiện đang được mở khóa
lock,locked,Is the <device_name> free and clear,No the <device_name> is actually locked,Người giữ chỗ_0 có miễn phí và rõ ràng không,Không có trình giữ chỗ_0 thực sự bị khóa
garage_door,open,Is the <device_name> shut,No the <device_name> is currently open,Người giữ chỗ_0 có đóng không,Không có trình giữ chỗ_0 hiện đang mở
garage_door,closed,Did we leave the <device_name> open,No the <device_name> is closed,Chúng tôi đã để người giữ chỗ_0 mở,Không đóng cửa trình giữ chỗ_0
blinds,open,Did we lower the <device_name>,No the <device_name> are actually open,Chúng ta đã hạ thấp chỗ giữ chỗ_0,Không có trình giữ chỗ_0 thực sự mở
blinds,closed,Is the <device_name> pulled up,No the <device_name> are currently closed,Là người giữ chỗ_0 được kéo lên,Không có chỗ giữ chỗ_0 hiện đang đóng cửa
media_player,on,Is the <device_name> off,No the <device_name> is currently on,Là người giữ chỗ_0 tắt,Không có trình giữ chỗ_0 hiện đang ở
media_player,off,Is the <device_name> playing,No the <device_name> is off right now,Placeholder_0 có chơi không,Không có trình giữ chỗ_0 đã tắt ngay bây giờ
media_player,idle,Is the <device_name> playing some music,No the <device_name> is idle at the moment,Là người giữ chỗ_0 chơi một số nhạc,Không có chỗ giữ chỗ_0 không hoạt động vào lúc này
media_player,playing,Is the <device_name> paused,No the <device_name> is actually playing,Người giữ chỗ_0 có bị tạm dừng không,Không có trình giữ chỗ_0 thực sự đang chơi
media_player,paused,Is the <device_name> in standby,No the <device_name> is paused right now,Là người giữ chỗ_0 ở chế độ chờ,Không có chỗ giữ chỗ_0 được tạm dừng ngay bây giờ
media_player,standby,Is the <device_name> playing,No the <device_name> is in standby,Placeholder_0 có chơi không,Không có người giữ chỗ_0 ở chế độ chờ
garage_door,opening,Is the <device_name> closing,No the <device_name> is currently opening,Là người giữ chỗ_0 đóng cửa,Không có trình giữ chỗ_0 hiện đang mở
garage_door,closing,Is the <device_name> opening,No the <device_name> is currently closing,Là người giữ chỗ_0 mở ra,Không có trình giữ chỗ_0 hiện đang đóng cửa
blinds,opening,Are the <device_name> closing,No the <device_name> are opening,Có phải người giữ chỗ_0 đóng không,Không có chỗ giữ chỗ_0 đang mở
blinds,closing,Are the <device_name> opening,No the <device_name> are closing,Là người giữ chỗ_0 mở đầu,Không có chỗ giữ chỗ_0 đang đóng cửa
lock,unlocking,Is the <device_name> locking,No the <device_name> is unlocking,Là khóa giữ chỗ_0 có khóa không,Không có trình giữ chỗ_0 đang mở khóa
lock,locking,Is the <device_name> unlocking,No the <device_name> is locking,Là trình giữ chỗ_0 mở khóa,Không có chỗ giữ chỗ_0 đang khóa
lock,jammed,Is the <device_name> unlocked,No the <device_name> is jammed,Người giữ chỗ có được mở khóa không,Không có chỗ giữ chỗ_0 bị kẹt
light,on,Is the <device_name> dark,No the <device_name> is currently on,Người giữ chỗ có tối không,Không có trình giữ chỗ_0 hiện đang ở
light,off,Is the <device_name> shining,No the <device_name> is off,Là người giữ chỗ_0 tỏa sáng,Không có chỗ giữ chỗ_0 bị tắt
fan,on,Is the <device_name> idle,No the <device_name> is actually on,Người giữ chỗ có nhàn rỗi không,Không có trình giữ chỗ_0 thực sự
fan,off,Is the <device_name> blowing air,No the <device_name> is off right now,Là người giữ chỗ_0 thổi không khí,Không có trình giữ chỗ_0 đã tắt ngay bây giờ
lock,unlocked,Is the <device_name> secure,No the <device_name> is currently unlocked,Người giữ chỗ có an toàn không,Không có trình giữ chỗ_0 hiện đang được mở khóa
lock,locked,Is the <device_name> open,No the <device_name> is locked,Người giữ chỗ có mở không,Không có trình giữ chỗ_0 bị khóa
lock,jammed,Is the <device_name> locking,No the <device_name> is jammed,Là khóa giữ chỗ_0 có khóa không,Không có chỗ giữ chỗ_0 bị kẹt
light,on,Is the <device_name> off,No the <device_name> is on,Là người giữ chỗ_0 tắt,Không có trình giữ chỗ_0 đang ở
light,off,Is the <device_name> active,No the <device_name> is off,Placeholder_0 có hoạt động không,Không có chỗ giữ chỗ_0 bị tắt
light,on,Is the <device_name> on or off,The <device_name> is on,Là người giữ chỗ_0 bật hoặc tắt,Người giữ chỗ_0 đang ở
light,off,Is the <device_name> on or off,The <device_name> is off,Là người giữ chỗ_0 bật hoặc tắt,Người giữ chỗ_0 đã tắt
fan,on,Is the <device_name> on or off,The <device_name> is on,Là người giữ chỗ_0 bật hoặc tắt,Người giữ chỗ_0 đang ở
fan,off,Is the <device_name> on or off,The <device_name> is off,Là người giữ chỗ_0 bật hoặc tắt,Người giữ chỗ_0 đã tắt
garage_door,open,Is the <device_name> open or closed,The <device_name> is open,Người giữ chỗ_0 có mở hoặc đóng không,Người giữ chỗ_0 đang mở
garage_door,closed,Is the <device_name> open or closed,The <device_name> is closed,Người giữ chỗ_0 có mở hoặc đóng không,Người giữ chỗ_0 đã đóng
blinds,open,Are the <device_name> open or closed,The <device_name> are open,Người giữ chỗ_0 mở hoặc đóng,Người giữ chỗ_0 đang mở
blinds,closed,Are the <device_name> open or closed,The <device_name> are closed,Người giữ chỗ_0 mở hoặc đóng,Người giữ chỗ_0 đã đóng cửa
media_player,on,Is the <device_name> on or off,The <device_name> is on,Là người giữ chỗ_0 bật hoặc tắt,Người giữ chỗ_0 đang ở
media_player,off,Is the <device_name> on or off,The <device_name> is off,Là người giữ chỗ_0 bật hoặc tắt,Người giữ chỗ_0 đã tắt
lock,unlocked,Is the <device_name> locked or unlocked,The <device_name> is unlocked,Người giữ chỗ_0 đã bị khóa hoặc mở khóa,Người giữ chỗ_0 được mở khóa
lock,locked,Is the <device_name> locked or unlocked,The <device_name> is locked,Người giữ chỗ_0 đã bị khóa hoặc mở khóa,Người giữ chỗ_0 bị khóa
media_player,playing,Is the <device_name> playing or paused,The <device_name> is playing,Là người giữ chỗ_0 chơi hoặc tạm dừng,Người giữ chỗ_0 đang chơi
media_player,paused,Is the <device_name> playing or paused,The <device_name> is paused,Là người giữ chỗ_0 chơi hoặc tạm dừng,Người giữ chỗ_0 bị tạm dừng
garage_door,opening,Is the <device_name> opening or closing,The <device_name> is opening,Là người giữ chỗ_0 mở hoặc đóng,Người giữ chỗ_0 đang mở
garage_door,closing,Is the <device_name> opening or closing,The <device_name> is closing,Là người giữ chỗ_0 mở hoặc đóng,Người giữ chỗ_0 đang đóng cửa
blinds,opening,Are the <device_name> opening or closing,The <device_name> are opening,Là người giữ chỗ_0 mở hoặc đóng,Người giữ chỗ_0 đang mở
blinds,closing,Are the <device_name> opening or closing,The <device_name> are closing,Là người giữ chỗ_0 mở hoặc đóng,Người giữ chỗ_0 đang đóng
lock,unlocking,Is the <device_name> locking or unlocking,The <device_name> is unlocking,Là lockerholder_0 khóa hoặc mở khóa,Người giữ chỗ_0 đang mở khóa
lock,locking,Is the <device_name> locking or unlocking,The <device_name> is locking,Là lockerholder_0 khóa hoặc mở khóa,Người giữ chỗ_0 đang khóa
lock,jammed,Is the <device_name> locked or jammed,The <device_name> is jammed,Người giữ chỗ_0 bị khóa hoặc bị kẹt,Người giữ chỗ_0 bị kẹt
media_player,idle,Is the <device_name> idle or in standby,The <device_name> is idle,Là người giữ chỗ_0 nhàn rỗi hoặc ở chế độ chờ,Người giữ chỗ_0 không hoạt động
media_player,standby,Is the <device_name> idle or in standby,The <device_name> is in standby,Là người giữ chỗ_0 nhàn rỗi hoặc ở chế độ chờ,Người giữ chỗ_0 đang ở chế độ chờ
light,on,Is the <device_name> on or dim,The <device_name> is on,Là người giữ chỗ_0 trên hoặc mờ,Người giữ chỗ_0 đang ở
light,off,Is the <device_name> on or dim,The <device_name> is off,Là người giữ chỗ_0 trên hoặc mờ,Người giữ chỗ_0 đã tắt
fan,on,Is the <device_name> spinning or still,The <device_name> is spinning,Là người giữ chỗ_0 quay hoặc vẫn còn,Người giữ chỗ_0 đang quay
fan,off,Is the <device_name> spinning or still,The <device_name> is still,Là người giữ chỗ_0 quay hoặc vẫn còn,Người giữ chỗ_0 vẫn còn
lock,unlocked,Is the <device_name> secure or unsecure,The <device_name> is unsecure,Người giữ chỗ là an toàn hoặc không an toàn,Người giữ chỗ_0 không an toàn
lock,locked,Is the <device_name> secure or unsecure,The <device_name> is secure,Người giữ chỗ là an toàn hoặc không an toàn,Người giữ chỗ_0 an toàn
lock,jammed,Is the <device_name> secure or jammed,The <device_name> is jammed,Người giữ chỗ có an toàn hay bị kẹt không,Người giữ chỗ_0 bị kẹt
light,on,What's the current condition of the <device_name>,The <device_name> is on,Tình trạng hiện tại của trình giữ chỗ_0 là gì,Người giữ chỗ_0 đang ở
light,off,How's the <device_name> looking right now,The <device_name> is off,Làm thế nào là người giữ chỗ_0 trông ngay bây giờ,Người giữ chỗ_0 đã tắt
fan,on,What's happening with the <device_name>,The <device_name> is on,Điều gì đang xảy ra với người giữ chỗ_0,Người giữ chỗ_0 đang ở
fan,off,Can you give me an update on the <device_name>,The <device_name> is off,Bạn có thể cho tôi một bản cập nhật trên Placeholder_0,Người giữ chỗ_0 đã tắt
garage_door,open,Fill me in on the <device_name> would you,The <device_name> is open,"Điền vào tôi vào chỗ giữ chỗ_0, bạn sẽ",Người giữ chỗ_0 đang mở
garage_door,closed,What's the situation with the <device_name>,The <device_name> is closed,Tình huống với trình giữ chỗ_0 là gì,Người giữ chỗ_0 đã đóng
blinds,open,What's the latest on the <device_name>,The <device_name> are open,Cái mới nhất trên trình giữ chỗ_0 là gì,Người giữ chỗ_0 đang mở
blinds,closed,Can you update me on the <device_name>,The <device_name> are closed,Bạn có thể cập nhật cho tôi trên trình giữ chỗ_0 không,Người giữ chỗ_0 đã đóng cửa
media_player,on,What's the status of the <device_name>,The <device_name> is on,Tình trạng của người giữ chỗ_0 là gì,Người giữ chỗ_0 đang ở
media_player,off,How's the <device_name> doing,The <device_name> is off,Người giữ chỗ như thế nào,Người giữ chỗ_0 đã tắt
lock,unlocked,What's the word on the <device_name>,The <device_name> is unlocked,Từ trên trình giữ chỗ_0 là gì,Người giữ chỗ_0 được mở khóa
lock,locked,How's it going with the <device_name>,The <device_name> is locked,Thế nào rồi với trình giữ chỗ_0,Người giữ chỗ_0 bị khóa
media_player,playing,Can you clue me in on the <device_name>,The <device_name> is playing,Bạn có thể manh thnet với tôi trong trình giữ chỗ_0 không,Người giữ chỗ_0 đang chơi
media_player,paused,What's going down with the <device_name>,The <device_name> is paused,Điều gì sẽ xảy ra với người giữ chỗ_0,Người giữ chỗ_0 bị tạm dừng
garage_door,opening,Any news on the <device_name>,The <device_name> is opening,Bất kỳ tin tức nào về trình giữ chỗ_0,Người giữ chỗ_0 đang mở
garage_door,closing,What's the scoop on the <device_name>,The <device_name> is closing,Cái muỗng trên trình giữ chỗ_0 là gì,Người giữ chỗ_0 đang đóng cửa
blinds,opening,Got any updates on the <device_name>,The <device_name> are opening,Có bất kỳ cập nhật nào về trình giữ chỗ_0,Người giữ chỗ_0 đang mở
blinds,closing,What's happening with the <device_name> now,The <device_name> are closing,Điều gì đang xảy ra với người giữ chỗ_0 bây giờ,Người giữ chỗ_0 đang đóng
lock,unlocking,What's the latest update on the <device_name>,The <device_name> is unlocking,Bản cập nhật mới nhất trên Placeholder_0 là gì,Người giữ chỗ_0 đang mở khóa
lock,locking,Any changes with the <device_name>,The <device_name> is locking,Bất kỳ thay đổi nào với trình giữ chỗ_0,Người giữ chỗ_0 đang khóa
light,on,What's up with the <device_name>,The <device_name> is on,Có chuyện gì với người giữ chỗ_0,Người giữ chỗ_0 đang ở
light,off,whats the <device_name> status,The <device_name> is off,Trạng thái Whats the Placeholder_0,Người giữ chỗ_0 đã tắt
fan,on,Is <device_name> active,The <device_name> is on,Là người giữ chỗ_0 hoạt động,Người giữ chỗ_0 đang ở
fan,off,Status of <device_name>,The <device_name> is off,Trạng thái của Placeholder_0,Người giữ chỗ_0 đã tắt
garage_door,open,<device_name> update,The <device_name> is open,Cập nhật Placeholder_0,Người giữ chỗ_0 đang mở
garage_door,closed,<device_name> current state,The <device_name> is closed,Placeholder_0 Trạng thái hiện tại,Người giữ chỗ_0 đã đóng
blinds,open,How's the <device_name>,The <device_name> are open,Người giữ chỗ như thế nào_0,Người giữ chỗ_0 đang mở
blinds,closed,Update on <device_name>,The <device_name> are closed,Cập nhật trên Placeholder_0,Người giữ chỗ_0 đã đóng cửa
media_player,on,what is the State of <device_name>,The <device_name> is on,Trạng thái của chỗ giữ chỗ_0 là gì,Người giữ chỗ_0 đang ở
media_player,off,Any news on <device_name>,The <device_name> is off,Bất kỳ tin tức nào về loferholder_0,Người giữ chỗ_0 đã tắt
lock,unlocked,How's the <device_name>,The <device_name> is unlocked,Người giữ chỗ như thế nào_0,Người giữ chỗ_0 được mở khóa
lock,locked,<device_name> okay,The <device_name> is locked,Placeholder_0 Được rồi,Người giữ chỗ_0 bị khóa
media_player,playing,Is <device_name> active,The <device_name> is playing,Là người giữ chỗ_0 hoạt động,Người giữ chỗ_0 đang chơi
media_player,paused,<device_name> state,The <device_name> is paused,Trạng thái giữ chỗ_0,Người giữ chỗ_0 bị tạm dừng
garage_door,opening,What's <device_name> doing,The <device_name> is opening,Những gì người giữ chỗ_0 đang làm gì,Người giữ chỗ_0 đang mở
garage_door,closing,Status of <device_name>,The <device_name> is closing,Trạng thái của Placeholder_0,Người giữ chỗ_0 đang đóng cửa
blinds,opening,<device_name> update,The <device_name> are opening,Cập nhật Placeholder_0,Người giữ chỗ_0 đang mở
blinds,closing,How's the <device_name>,The <device_name> are closing,Người giữ chỗ như thế nào_0,Người giữ chỗ_0 đang đóng
lock,unlocking,State of <device_name>,The <device_name> is unlocking,Trạng thái của người giữ chỗ_0,Người giữ chỗ_0 đang mở khóa
lock,locking,Is <device_name> okay,The <device_name> is locking,Placeholder_0 có ổn không,Người giữ chỗ_0 đang khóa
light,on,What's <device_name> doing,The <device_name> is on,Những gì người giữ chỗ_0 đang làm gì,Người giữ chỗ_0 đang ở
light,off,Is <device_name> active,The <device_name> is off,Là người giữ chỗ_0 hoạt động,Người giữ chỗ_0 đã tắt
