service,response,language,persona,short,response_vi
light.turn_on,Brightening <device_name> to <brightness>%.,en,assistant,0,Làm sáng <device_name> đến __PH1 __%.
light.turn_on,Adjusting <device_name> brightness to <brightness>.,en,assistant,0,Điều chỉnh <device_name> Độ sáng thành <brightness>.
light.turn_on,Increasing <device_name>'s brightness to <brightness>.,en,assistant,0,Tăng độ sáng __PH0 __ của <brightness>.
light.turn_on,Lowering the brightness of <device_name> to <brightness>.,en,assistant,0,Hạ độ sáng của <device_name> xuống <brightness>.
light.turn_on,Setting <device_name>'s brightness level to <brightness>%.,en,assistant,0,Cài đặt mức độ sáng của __PH0 __ của __PH1 __%.
light.turn_on,Setting <device_name> to <brightness>% brightness.,en,assistant,0,Cài đặt <device_name> đến __PH1 __% độ sáng.
light.turn_on,Turning <device_name> <color>.,en,assistant,0,Biến <device_name> <color>.
light.turn_on,Changing the color of <device_name> to <color>.,en,assistant,0,Thay đổi màu của <device_name> thành <color>.
light.turn_on,Changing <device_name> to a <color> hue.,en,assistant,0,Thay đổi <device_name> thành __ph1__ Huế.
light.turn_on,Setting <device_name> to be <color>.,en,assistant,0,Cài đặt <device_name> thành <color>.
light.turn_on,Making <device_name> shine in <color>.,en,assistant,0,Làm __ph0__ tỏa sáng trong __ph1__.
light.turn_on,Turning <device_name> to a <color> shade.,en,assistant,0,Biến <device_name> thành bóng <color>.
light.turn_on,Setting <device_name> to a <color>.,en,assistant,0,Đặt <device_name> thành <color>.
light.turn_on,Setting <device_name> to a <color> color.,en,assistant,0,Đặt <device_name> thành màu <color>.
light.turn_on,Making <device_name> glow <color>.,en,assistant,0,Làm __ph0__ phát sáng __ph1__.
light.turn_on,Turning <device_name> to <color>.,en,assistant,0,Biến <device_name> thành <color>.
light.turn_on,Changing <device_name> to <color>.,en,assistant,0,Thay đổi <device_name> thành <color>.
light.turn_on,Adjusting <device_name> to <color> color.,en,assistant,0,Điều chỉnh <device_name> thành <color> màu.
light.turn_on,Switching <device_name> color to <color>.,en,assistant,0,Chuyển đổi màu <device_name> sang <color>.
light.turn_on,Setting <device_name> in <color>.,en,assistant,0,Cài đặt <device_name> trong <color>.
light.turn_on,Making <device_name> display a <color> light.,en,assistant,0,Làm cho <device_name> hiển thị ánh sáng <color>.
light.turn_on,Setting <device_name> color to <color>.,en,assistant,0,Cài đặt <device_name> màu thành <color>.
light.turn_off,Deactivating <device_name> as requested,en,assistant,0,Vô hiệu hóa <device_name> theo yêu cầu
light.turn_off,Switching off <device_name> now,en,assistant,0,Tắt <device_name> ngay bây giờ
light.turn_off,"Sure, turning off <device_name>",en,assistant,0,"Chắc chắn, tắt <device_name>"
light.turn_off,Turning off <device_name>,en,assistant,0,Tắt <device_name>
light.turn_off,Deactivating <device_name>,en,assistant,0,Vô hiệu hóa <device_name>
lock.lock,Locking the door for you.,en,assistant,0,Khóa cửa cho bạn.
lock.lock,I'll go ahead and lock the door.,en,assistant,0,Tôi sẽ đi trước và khóa cửa.
lock.lock,"Sure, securing the lock.",en,assistant,0,"Chắc chắn, đảm bảo khóa."
lock.unlock,Unlocking the door as you requested.,en,assistant,0,Mở khóa cửa như bạn yêu cầu.
lock.unlock,I'll unlock the door for you.,en,assistant,0,Tôi sẽ mở khóa cửa cho bạn.
lock.unlock,"Sure, unlocking the door.",en,assistant,0,"Chắc chắn, mở khóa cửa."
lock.lock,Engaging lock on <device_name>,en,assistant,0,Khóa hấp dẫn trên <device_name>
lock.lock,Locking <device_name> now,en,assistant,0,Khóa <device_name> bây giờ
lock.lock,Securing <device_name> for you,en,assistant,0,Đảm bảo <device_name> cho bạn
lock.lock,Locking <device_name>,en,assistant,0,Khóa <device_name>
lock.lock,Securing <device_name>,en,assistant,0,Đảm bảo <device_name>
lock.unlock,Disengaging lock on <device_name>,en,assistant,0,Thảnh thơi trên <device_name>
lock.unlock,Unlocking <device_name> now,en,assistant,0,Mở khóa <device_name> ngay bây giờ
lock.unlock,Unsecuring <device_name> for you,en,assistant,0,Không an toàn __ph0__ cho bạn
lock.unlock,Unlocking <device_name>,en,assistant,0,Mở khóa <device_name>
media_player.turn_on,Turning on the media player for you.,en,assistant,0,Bật trình phát phương tiện cho bạn.
media_player.turn_on,I'll get the media player going.,en,assistant,0,Tôi sẽ đưa trình phát phương tiện đi.
media_player.turn_on,"Sure, activating the media player.",en,assistant,0,"Chắc chắn, kích hoạt trình phát phương tiện."
media_player.turn_off,Turning off the media player as requested.,en,assistant,0,Tắt trình phát phương tiện theo yêu cầu.
media_player.turn_off,I'll switch off the media player.,en,assistant,0,Tôi sẽ tắt trình phát phương tiện.
media_player.turn_off,"Sure, deactivating the media player.",en,assistant,0,"Chắc chắn, hủy kích hoạt trình phát phương tiện."
media_player.toggle,Toggling the media player for you.,en,assistant,0,Chuyển đổi trình phát phương tiện cho bạn.
media_player.toggle,Switching the media player's state.,en,assistant,0,Chuyển đổi trạng thái của trình phát phương tiện.
media_player.toggle,I'll toggle the media player.,en,assistant,0,Tôi sẽ chuyển đổi trình phát phương tiện.
media_player.volume_up,Increasing the volume for you.,en,assistant,0,Tăng khối lượng cho bạn.
media_player.volume_up,"Sure, turning up the volume now.",en,assistant,0,"Chắc chắn, bật lên âm lượng ngay bây giờ."
media_player.volume_up,I'll go ahead and raise the volume.,en,assistant,0,Tôi sẽ tiếp tục và nâng âm lượng.
media_player.volume_down,Reducing the volume as you requested.,en,assistant,0,Giảm khối lượng như bạn yêu cầu.
media_player.volume_down,I'll turn down the volume for you.,en,assistant,0,Tôi sẽ từ chối âm lượng cho bạn.
media_player.volume_down,"Sure, lowering the volume.",en,assistant,0,"Chắc chắn, hạ thấp khối lượng."
media_player.volume_mute,Muting the volume for you.,en,assistant,0,Tắt âm lượng cho bạn.
media_player.volume_mute,I'll mute the media player now.,en,assistant,0,Tôi sẽ tắt tiếng trình phát phương tiện ngay bây giờ.
media_player.volume_mute,"Sure, muting the volume.",en,assistant,0,"Chắc chắn, tắt âm lượng."
media_player.media_play_pause,Toggling play/pause on the media player.,en,assistant,0,Chuyển đổi chơi/tạm dừng trên trình phát phương tiện.
media_player.media_play_pause,Switching between play and pause.,en,assistant,0,Chuyển đổi giữa chơi và tạm dừng.
media_player.media_play_pause,I'll toggle between play and pause for you.,en,assistant,0,Tôi sẽ chuyển đổi giữa chơi và tạm dừng cho bạn.
media_player.media_play,Starting media playback.,en,assistant,0,Bắt đầu phát lại phương tiện truyền thông.
media_player.media_play,I'll start playing the media for you.,en,assistant,0,Tôi sẽ bắt đầu chơi phương tiện truyền thông cho bạn.
media_player.media_play,"Sure, beginning playback.",en,assistant,0,"Chắc chắn, bắt đầu phát lại."
media_player.media_pause,Pausing the media playback.,en,assistant,0,Tạm dừng phát lại phương tiện truyền thông.
media_player.media_pause,I'll pause the media for you.,en,assistant,0,Tôi sẽ tạm dừng phương tiện truyền thông cho bạn.
media_player.media_pause,"Sure, pausing playback.",en,assistant,0,"Chắc chắn, phát lại tạm dừng."
media_player.media_stop,Stopping the media playback.,en,assistant,0,Dừng phát lại phương tiện truyền thông.
media_player.media_stop,I'll stop the media for you.,en,assistant,0,Tôi sẽ dừng phương tiện truyền thông cho bạn.
media_player.media_stop,"Sure, halting playback.",en,assistant,0,"Chắc chắn, tạm dừng phát lại."
media_player.media_next_track,Skipping to the next track.,en,assistant,0,Bỏ qua đường đua tiếp theo.
media_player.media_next_track,I'll go to the next track for you.,en,assistant,0,Tôi sẽ đi đến bài hát tiếp theo cho bạn.
media_player.media_next_track,"Sure, moving to the next track.",en,assistant,0,"Chắc chắn, chuyển sang bài hát tiếp theo."
media_player.media_previous_track,Going back to the previous track.,en,assistant,0,Quay trở lại bài hát trước.
media_player.media_previous_track,I'll return to the previous track for you.,en,assistant,0,Tôi sẽ trở lại bài hát trước cho bạn.
media_player.media_previous_track,"Sure, reverting to the previous track.",en,assistant,0,"Chắc chắn, trở lại theo dõi trước đó."
media_player.volume_up,Increasing <device_name>'s volume.,en,assistant,0,Tăng khối lượng __PH0 __.
media_player.volume_up,Turning up <device_name> a bit.,en,assistant,0,Bật lên <device_name> một chút.
media_player.volume_up,Making <device_name> louder.,en,assistant,0,Làm cho __ph0__ to hơn.
media_player.media_play,Starting playback on <device_name>.,en,assistant,0,Bắt đầu phát lại trên <device_name>.
media_player.media_play,Playing <device_name> now.,en,assistant,0,Chơi <device_name> bây giờ.
media_player.media_play,Playing media on <device_name>.,en,assistant,0,Chơi phương tiện trên <device_name>.
media_player.media_stop,Stopping <device_name> completely.,en,assistant,0,Dừng <device_name> hoàn toàn.
media_player.media_stop,Stopping playback on <device_name>.,en,assistant,0,Ngừng phát lại trên <device_name>.
media_player.media_stop,Ending session on <device_name>.,en,assistant,0,Phiên kết thúc trên <device_name>.
media_player.volume_down,Lowering <device_name>'s volume.,en,assistant,0,Hạ âm lượng của __PH0 __.
media_player.volume_down,Decreasing <device_name>'s volume.,en,assistant,0,Giảm khối lượng __PH0 __ của.
media_player.volume_down,Turning down <device_name>.,en,assistant,0,Từ chối __ph0__.
media_player.volume_mute,Muting <device_name>.,en,assistant,0,Tắt tiếng <device_name>.
media_player.volume_mute,Silencing <device_name>.,en,assistant,0,Im lặng __ph0__.
media_player.volume_mute,Muting <device_name> now.,en,assistant,0,Tắt tiếng <device_name> bây giờ.
media_player.media_pause,Pausing <device_name>.,en,assistant,0,Tạm dừng __ph0__.
media_player.media_pause,Pausing <device_name> now.,en,assistant,0,Tạm dừng __ph0__ bây giờ.
media_player.media_pause,Holding playback on <device_name>.,en,assistant,0,Giữ phát lại trên <device_name>.
media_player.media_next_track,Skipping to next track on <device_name>.,en,assistant,0,Bỏ qua theo dõi tiếp theo trên <device_name>.
media_player.media_next_track,Advancing to the next song on <device_name>.,en,assistant,0,Tiến lên bài hát tiếp theo trên <device_name>.
media_player.media_next_track,Skipping this track on <device_name>.,en,assistant,0,Bỏ qua bản nhạc này trên <device_name>.
media_player.media_previous_track,Going back to previous track on <device_name>.,en,assistant,0,Quay trở lại bản nhạc trước trên <device_name>.
media_player.media_previous_track,Rewinding to the previous song on <device_name>.,en,assistant,0,Tua lại bài hát trước trên <device_name>.
media_player.media_previous_track,Going back a track on <device_name>.,en,assistant,0,Quay lại một bài hát trên <device_name>.
switch.turn_on,Turning on the switch for you.,en,assistant,0,Bật công tắc cho bạn.
switch.turn_on,"Sure, I'll turn on the light now.",en,assistant,0,"Chắc chắn, tôi sẽ bật đèn ngay bây giờ."
switch.turn_on,I'll go ahead and turn the switch on.,en,assistant,0,Tôi sẽ tiếp tục và bật công tắc.
switch.turn_off,Turning off the switch as requested.,en,assistant,0,Tắt công tắc theo yêu cầu.
switch.turn_off,I'll switch off the device for you.,en,assistant,0,Tôi sẽ tắt thiết bị cho bạn.
switch.turn_off,"Sure, turning off the switch.",en,assistant,0,"Chắc chắn, tắt công tắc."
switch.toggle,Toggling the switch for you.,en,assistant,0,Chuyển đổi công tắc cho bạn.
switch.toggle,Changing the switch's state now.,en,assistant,0,Thay đổi trạng thái của công tắc ngay bây giờ.
switch.toggle,I'll toggle the switch for you.,en,assistant,0,Tôi sẽ chuyển đổi công tắc cho bạn.
switch.toggle,Toggling <device_name>.,en,assistant,0,Chuyển đổi <device_name>.
switch.toggle,"Yes, toggling <device_name>.",en,assistant,0,"Có, chuyển đổi <device_name>."
switch.toggle,"Yes, I can toggle <device_name>.",en,assistant,0,"Có, tôi có thể chuyển đổi <device_name>."
switch.toggle,Toggling <device_name> as requested.,en,assistant,0,Chuyển đổi <device_name> theo yêu cầu.
switch.toggle,Changing the state of <device_name>.,en,assistant,0,Thay đổi trạng thái của <device_name>.
switch.toggle,Quickly toggling <device_name>.,en,assistant,0,Nhanh chóng chuyển đổi __ph0__.
switch.turn_on,Turning on <device_name> now.,en,assistant,0,Bật <device_name> ngay bây giờ.
switch.turn_on,I'm turning on <device_name>.,en,assistant,0,Tôi đang bật <device_name>.
switch.turn_on,Activating <device_name>.,en,assistant,0,Kích hoạt <device_name>.
switch.turn_on,"Sure, turning <device_name> on.",en,assistant,0,"Chắc chắn, bật <device_name>."
switch.turn_on,Switching on <device_name> right away.,en,assistant,0,Bật <device_name> ngay lập tức.
switch.turn_on,"Sure, lighting up <device_name> now.",en,assistant,0,"Chắc chắn, thắp sáng __ph0__ bây giờ."
switch.turn_on,Turning <device_name> on as needed.,en,assistant,0,Bật <device_name> khi cần thiết.
switch.turn_off,Switching off <device_name>.,en,assistant,0,Tắt <device_name>.
switch.turn_off,Turning off <device_name>.,en,assistant,0,Tắt <device_name>.
switch.turn_off,Deactivating <device_name>.,en,assistant,0,Vô hiệu hóa <device_name>.
switch.turn_off,"Okay, turning <device_name> off.",en,assistant,0,"Được rồi, tắt <device_name>."
switch.turn_off,"Okay, I'm turning off <device_name>.",en,assistant,0,"Được rồi, tôi đang tắt <device_name>."
switch.turn_off,Shutting off <device_name> for bedtime.,en,assistant,0,Tắt <device_name> cho giờ đi ngủ.
switch.turn_off,Turning off <device_name> now.,en,assistant,0,Tắt <device_name> ngay bây giờ.
blinds.close,shutting <device_name>,en,assistant,1,Tắt <device_name>
blinds.close,lowering <device_name>,en,assistant,1,hạ thấp <device_name>
blinds.close,closing <device_name>,en,assistant,1,Đóng <device_name>
blinds.open,raising <device_name>,en,assistant,1,Nâng cao <device_name>
blinds.open,lifting <device_name>,en,assistant,1,Nâng <device_name>
blinds.open,opening <device_name>,en,assistant,1,Mở đầu <device_name>
fan.decrease_speed,slowing down <device_name>,en,assistant,1,làm chậm __ph0__
fan.decrease_speed,reducing speed of <device_name>,en,assistant,1,Giảm tốc độ <device_name>
fan.decrease_speed,reducing <device_name>,en,assistant,1,Giảm <device_name>
fan.increase_speed,speeding up <device_name>,en,assistant,1,Tăng tốc <device_name>
fan.increase_speed,increasing speed of <device_name>,en,assistant,1,Tăng tốc độ <device_name>
fan.increase_speed,ramping up <device_name>,en,assistant,1,tăng cường __ph0__
fan.toggle,toggling <device_name>,en,assistant,1,Chuyển đổi <device_name>
fan.toggle,flipping <device_name>,en,assistant,1,lật __ph0__
fan.turn_off,stopping <device_name>,en,assistant,1,Dừng <device_name>
fan.turn_off,turning off <device_name>,en,assistant,1,Tắt <device_name>
fan.turn_off,deactivating <device_name>,en,assistant,1,vô hiệu hóa <device_name>
fan.turn_on,starting <device_name>,en,assistant,1,Bắt đầu <device_name>
fan.turn_on,activating <device_name>,en,assistant,1,Kích hoạt <device_name>
garage_door.close,shutting <device_name>,en,assistant,1,Tắt <device_name>
garage_door.close,deactivating <device_name>,en,assistant,1,vô hiệu hóa <device_name>
garage_door.close,closing <device_name>,en,assistant,1,Đóng <device_name>
garage_door.open,opening <device_name>,en,assistant,1,Mở đầu <device_name>
garage_door.open,lifting <device_name>,en,assistant,1,Nâng <device_name>
garage_door.stop,stopping <device_name>,en,assistant,1,Dừng <device_name>
light.toggle,toggling <device_name>,en,assistant,1,Chuyển đổi <device_name>
light.toggle,flipping <device_name>,en,assistant,1,lật __ph0__
light.turn_off,turning off <device_name>,en,assistant,1,Tắt <device_name>
