device_type,state,english_phrase,assistant_response,english_phrase_vi,assistant_response_vi
lock,locked,Is the <device_name> secure or unsecure,The <device_name> is secure,__Ph0__ an toàn hoặc không an toàn,<device_name> an toàn
lock,jammed,Is the <device_name> secure or jammed,The <device_name> is jammed,__Ph0__ an toàn hoặc bị kẹt,__Ph0__ bị kẹt
light,on,What's the current condition of the <device_name>,The <device_name> is on,Tình trạng hiện tại của __ph0__ là gì,<device_name> đang trên
light,off,How's the <device_name> looking right now,The <device_name> is off,__Ph0__ trông như thế nào ngay bây giờ,<device_name> bị tắt
fan,on,What's happening with the <device_name>,The <device_name> is on,Điều gì đang xảy ra với <device_name>,<device_name> đang trên
fan,off,Can you give me an update on the <device_name>,The <device_name> is off,Bạn có thể cho tôi một bản cập nhật trên <device_name>,<device_name> bị tắt
garage_door,open,Fill me in on the <device_name> would you,The <device_name> is open,Điền vào tôi trên __ph0__ bạn sẽ,<device_name> đang mở
garage_door,closed,What's the situation with the <device_name>,The <device_name> is closed,Tình huống với __ph0__ là gì,<device_name> được đóng
blinds,open,What's the latest on the <device_name>,The <device_name> are open,Cái mới nhất trên __ph0__,<device_name> được mở
blinds,closed,Can you update me on the <device_name>,The <device_name> are closed,Bạn có thể cập nhật cho tôi trên __ph0__,<device_name> được đóng lại
media_player,on,What's the status of the <device_name>,The <device_name> is on,Tình trạng của <device_name> là gì,<device_name> đang trên
media_player,off,How's the <device_name> doing,The <device_name> is off,__Ph0__ thế nào,<device_name> bị tắt
lock,unlocked,What's the word on the <device_name>,The <device_name> is unlocked,Từ đó là gì trên __ph0__,<device_name> được mở khóa
lock,locked,How's it going with the <device_name>,The <device_name> is locked,Thế nào rồi với __ph0__,<device_name> bị khóa
media_player,playing,Can you clue me in on the <device_name>,The <device_name> is playing,Bạn có thể manh thnet với tôi trên __ph0__,<device_name> đang chơi
media_player,paused,What's going down with the <device_name>,The <device_name> is paused,Điều gì sẽ xảy ra với <device_name>,__Ph0__ bị tạm dừng
garage_door,opening,Any news on the <device_name>,The <device_name> is opening,Bất kỳ tin tức nào trên __ph0__,<device_name> đang mở
garage_door,closing,What's the scoop on the <device_name>,The <device_name> is closing,Cái muỗng trên __ph0__ là gì,__Ph0__ đang đóng
blinds,opening,Got any updates on the <device_name>,The <device_name> are opening,Có bất kỳ cập nhật nào trên <device_name>,<device_name> đang mở
blinds,closing,What's happening with the <device_name> now,The <device_name> are closing,Điều gì đang xảy ra với __ph0__ bây giờ,<device_name> đang đóng
lock,unlocking,What's the latest update on the <device_name>,The <device_name> is unlocking,Bản cập nhật mới nhất trên <device_name>,<device_name> đang mở khóa
lock,locking,Any changes with the <device_name>,The <device_name> is locking,Bất kỳ thay đổi nào với <device_name>,__Ph0__ đang khóa
light,on,What's up with the <device_name>,The <device_name> is on,Có chuyện gì với <device_name>,<device_name> đang trên
light,off,whats the <device_name> status,The <device_name> is off,Trạng thái <device_name> là gì,<device_name> bị tắt
fan,on,Is <device_name> active,The <device_name> is on,Là <device_name> hoạt động,<device_name> đang trên
fan,off,Status of <device_name>,The <device_name> is off,Tình trạng của <device_name>,<device_name> bị tắt
garage_door,open,<device_name> update,The <device_name> is open,<device_name> Cập nhật,<device_name> đang mở
garage_door,closed,<device_name> current state,The <device_name> is closed,<device_name> Trạng thái hiện tại,<device_name> được đóng
blinds,open,How's the <device_name>,The <device_name> are open,__Ph0__ như thế nào,<device_name> được mở
blinds,closed,Update on <device_name>,The <device_name> are closed,Cập nhật trên <device_name>,<device_name> được đóng lại
media_player,on,what is the State of <device_name>,The <device_name> is on,Trạng thái của <device_name> là gì,<device_name> đang trên
media_player,off,Any news on <device_name>,The <device_name> is off,Bất kỳ tin tức nào trên <device_name>,<device_name> bị tắt
lock,unlocked,How's the <device_name>,The <device_name> is unlocked,__Ph0__ như thế nào,<device_name> được mở khóa
lock,locked,<device_name> okay,The <device_name> is locked,<device_name> Được rồi,<device_name> bị khóa
media_player,playing,Is <device_name> active,The <device_name> is playing,Là <device_name> hoạt động,<device_name> đang chơi
media_player,paused,<device_name> state,The <device_name> is paused,<device_name> Nhà nước,__Ph0__ bị tạm dừng
garage_door,opening,What's <device_name> doing,The <device_name> is opening,__Ph0__ đang làm gì,<device_name> đang mở
garage_door,closing,Status of <device_name>,The <device_name> is closing,Tình trạng của <device_name>,__Ph0__ đang đóng
blinds,opening,<device_name> update,The <device_name> are opening,<device_name> Cập nhật,<device_name> đang mở
blinds,closing,How's the <device_name>,The <device_name> are closing,__Ph0__ như thế nào,<device_name> đang đóng
lock,unlocking,State of <device_name>,The <device_name> is unlocking,Trạng thái của <device_name>,<device_name> đang mở khóa
lock,locking,Is <device_name> okay,The <device_name> is locking,__Ph0__ có ổn không,__Ph0__ đang khóa
light,on,What's <device_name> doing,The <device_name> is on,__Ph0__ đang làm gì,<device_name> đang trên
light,off,Is <device_name> active,The <device_name> is off,Là <device_name> hoạt động,<device_name> bị tắt
fan,on,<device_name> status now,The <device_name> is on,<device_name> trạng thái ngay bây giờ,<device_name> đang trên
fan,off,Current state of <device_name>,The <device_name> is off,Trạng thái hiện tại của <device_name>,<device_name> bị tắt
light,on,Is <device_name> working,The <device_name> is on,Là __ph0__ hoạt động,<device_name> đang trên
light,off,Update on <device_name>,The <device_name> is off,Cập nhật trên <device_name>,<device_name> bị tắt
fan,on,How's the <device_name>,The <device_name> is on,__Ph0__ như thế nào,<device_name> đang trên
fan,off,Status of <device_name>,The <device_name> is off,Tình trạng của <device_name>,<device_name> bị tắt
light,on,<device_name> condition,The <device_name> is on,__Ph0__ điều kiện,<device_name> đang trên
light,off,What's up with <device_name>,The <device_name> is off,Có chuyện gì với <device_name>,<device_name> bị tắt
media_player,on;<volume>,What's the volume on <device_name>?,The volume on <device_name> is at <volume>.,Khối lượng trên <device_name> là bao nhiêu?,Khối lượng trên <device_name> là <volume>.
media_player,off,Can you check the volume level of <device_name>?,"<device_name> is off, so I can't check the volume level currently.",Bạn có thể kiểm tra mức âm lượng của <device_name> không?,"<device_name> TẮT, vì vậy tôi không thể kiểm tra mức âm lượng hiện tại."
media_player,idle,"I need the current volume of <device_name>, please.",The current volume of <device_name> is <volume>.,"Tôi cần khối lượng hiện tại của <device_name>, xin vui lòng.",Khối lượng hiện tại của <device_name> là <volume>.
media_player,playing,Is the volume too loud on <device_name>?,The volume on <device_name> is currently set to <volume>.,Có phải âm lượng quá lớn trên <device_name>?,Khối lượng trên <device_name> hiện đang được đặt thành <volume>.
media_player,paused,What was the volume set to before <device_name> was paused?,"Before being paused, <device_name> had a volume level of <volume>.",Khối lượng được đặt thành trước <device_name> đã bị tạm dừng?,"Trước khi bị tạm dừng, <device_name> có mức âm lượng <volume>."
media_player,playing,Could you increase <device_name>'s volume a bit?,I've increased the volume on <device_name>. It's now at <volume>.,Bạn có thể tăng khối lượng của __PH0 __ một chút không?,Tôi đã tăng khối lượng trên <device_name>. Bây giờ là tại <volume>.
media_player,playing,Is the volume muted on <device_name>?,The volume on <device_name> is not muted. It's at <volume>.,Âm lượng có bị tắt trên <device_name> không?,Khối lượng trên <device_name> không bị tắt tiếng. Đó là tại <volume>.
media_player,on,What's playing on <device_name> right now?,<media> is currently playing on <device_name>.,Điều gì đang chơi trên <device_name> ngay bây giờ?,<media> hiện đang chơi trên <device_name>.
media_player,off,Is there anything playing on <device_name>?,Nothing is playing on <device_name> as it is currently off.,Có bất cứ điều gì chơi trên <device_name>?,Không có gì đang chơi trên <device_name> vì nó hiện đang tắt.
media_player,idle,Can you tell me what was last played on <device_name>?,The last media played on <device_name> was <media>.,Bạn có thể cho tôi biết những gì được chơi cuối cùng trên <device_name>?,Các phương tiện truyền thông cuối cùng được phát trên <device_name> là <media>.
media_player,playing,What is playing on <device_name> at the moment?,The song <media> is playing on <device_name> right now.,Điều gì đang chơi trên <device_name> vào lúc này?,Bài hát <media> đang phát trên <device_name> ngay bây giờ.
media_player,paused,What media was paused on <device_name>?,<media> was paused on <device_name>.,Những phương tiện truyền thông nào đã bị tạm dừng trên <device_name>?,<media> đã bị tạm dừng trên <device_name>.
media_player,on,"I hear something from <device_name>, what is it?",<device_name> is not currently playing anything.,"Tôi nghe thấy một cái gì đó từ __ph0__, nó là gì?",<device_name> hiện không chơi bất cứ điều gì.
media_player,playing,"I like this track on <device_name>, what is it?",You're listening to <media> on <device_name>.,"Tôi thích bài hát này trên <device_name>, nó là gì?",Bạn đang nghe <media> trên <device_name>.
media_player,paused,Can you name the movie that's on <device_name>?,The movie currently paused on <device_name> is <media>.,Bạn có thể đặt tên cho bộ phim trên <device_name>?,Bộ phim hiện đang tạm dừng trên <device_name> là <media>.
media_player,standby,What was the last show watched on <device_name>?,The last show watched on <device_name> was <media>.,Chương trình cuối cùng được xem trên <device_name> là gì?,Chương trình cuối cùng được xem trên <device_name> là <media>.
media_player,buffering,Which episode is on <device_name> right now?,The episode on <device_name> is <media>.,Tập nào trên <device_name> ngay bây giờ?,Tập trên <device_name> là <media>.
light,on;<color>;<brightness>,What's the brightness of <device_name>?,The brightness of <device_name> is currently at <brightness>.,Độ sáng của <device_name> là bao nhiêu?,Độ sáng của <device_name> hiện đang ở <brightness>.
light,on;<color>;<brightness>,Can you tell me the color of <device_name>?,<device_name> is currently showing <color>.,Bạn có thể cho tôi biết màu của <device_name>?,<device_name> hiện đang hiển thị <color>.
light,on;<color>;<brightness>,Is <device_name> set to a bright or dim setting?,<device_name> is set to a <brightness> brightness level.,<device_name> được đặt thành cài đặt sáng hay mờ?,<device_name> được đặt thành một mức độ sáng <brightness>.
