service_name,device_name,english_phrase,english_phrase_vi
fan.turn_on,kitchen,Enable the kitchen fan,Bật quạt nhà bếp
fan.turn_on,living_room,Start the living room fan,Bắt đầu quạt phòng khách
fan.turn_on,living_room,Turn on the living room fan,Bật quạt phòng khách
fan.turn_on,office,Could you enable the office fan,Bạn có thể bật quạt văn phòng
fan.turn_on,study,Activate the study fan,Kích hoạt quạt nghiên cứu
fan.turn_on,study,Switch on the study fan,Bật quạt học
garage_door.close,bike_storage,Deactivate the bike storage garage,Vô hiệu hóa nhà để xe lưu trữ xe đạp
garage_door.close,main,Close the main garage door,Đóng cửa nhà để xe chính
garage_door.close,one_car,Make sure the one car garage is closed,Đảm bảo rằng một nhà để xe được đóng lại
garage_door.close,side,Lower the side garage door,Hạ cửa nhà để xe bên
garage_door.open,basement,Please raise the basement garage door,Vui lòng nâng cửa nhà để xe tầng hầm
garage_door.open,bike_storage,Activate the bike storage garage,Kích hoạt nhà để xe lưu trữ xe đạp
garage_door.open,main,Open the main garage door,Mở cửa nhà để xe chính
garage_door.open,side,Could you lift the side garage door,Bạn có thể nâng cửa nhà để xe bên
garage_door.open,two_car,Open the two car garage,Mở hai gara ô tô
garage_door.stop,main,Stop the main garage door,Dừng cửa nhà để xe chính
garage_door.stop,side,Halt the side garage door,Dừng cửa nhà để xe bên
light.turn_off,bathroom_1,Please extinguish the bathroom light,Vui lòng dập tắt đèn phòng tắm
light.turn_off,bathroom,Switch off the bathroom light,Tắt đèn phòng tắm
light.turn_off,bathroom,Turn off the bathroom light,Tắt đèn phòng tắm
light.turn_off,bedroom_1,Deactivate the bedroom light,Vô hiệu hóa đèn phòng ngủ
light.turn_off,bedroom_2,Switch off the bedroom light,Tắt đèn phòng ngủ
light.turn_off,dining_room,Switch off the dining room light,Tắt đèn phòng ăn
light.turn_off,dining_room,Turn off the dining room light,Tắt đèn phòng ăn
light.turn_off,garden_1,Deactivate the garden light,Vô hiệu hóa ánh sáng vườn
light.turn_off,guest_room,Deactivate the guest room light,Đã hủy kích hoạt đèn phòng khách
light.turn_off,guest_room,Switch off the guest room light,Tắt đèn phòng khách
light.turn_off,hallway,Switch off the hallway light,Tắt đèn hành lang
light.turn_off,hallway,Turn off the hallway light,Tắt đèn hành lang
light.turn_off,kitchen_2,Switch off the kitchen light,Tắt đèn nhà bếp
light.turn_off,kitchen_counter,Switch off the kitchen counter light,Tắt đèn quầy bếp
light.turn_off,living_room_1,Switch off the living room light,Tắt đèn phòng khách
light.turn_off,living_room,Turn off the living room light,Tắt đèn phòng khách
light.turn_off,master_bedroom_1,Deactivate the master bedroom light,Vô hiệu hóa đèn phòng ngủ chính
light.turn_off,master_bedroom_lamp,Turn off the light in the bedroom,Tắt đèn trong phòng ngủ
light.turn_off,office,Deactivate the office light,Vô hiệu hóa đèn văn phòng
light.turn_off,patio,Deactivate the patio light,Vô hiệu hóa ánh sáng hiên
light.turn_off,patio,Disable the patio light,Tắt đèn hiên
light.turn_off,pool,Turn off the pool light,Tắt đèn hồ bơi
light.turn_off,study,Turn off the study light,Tắt đèn học tập
light.turn_on,bathroom_1,Could you illuminate the bathroom,Bạn có thể chiếu sáng phòng tắm
light.turn_on,bathroom,Activate the bathroom light,Kích hoạt đèn phòng tắm
light.turn_on,bedroom_1,Activate the bedroom light,Kích hoạt đèn phòng ngủ
light.turn_on,dining_room_1,Activate the lights in the dining room,Kích hoạt đèn trong phòng ăn
light.turn_on,dining_room,Activate the dining room light,Kích hoạt đèn phòng ăn
light.turn_on,driveway,Turn on the driveway light,Bật đèn lái xe
light.turn_on,garage,Activate the garage light,Kích hoạt đèn nhà để xe
light.turn_on,garage,Switch on the garage light,Bật đèn nhà để xe
light.turn_on,garden_1,Switch on the garden light,Bật đèn vườn
light.turn_on,garden_1,Turn on the garden light,Bật đèn sân vườn
light.turn_on,garden_2,Activate the garden light,Kích hoạt đèn làm vườn
light.turn_on,garden,Switch on the garden light,Bật đèn vườn
light.turn_on,guest_room,Switch on the guest room light,Bật đèn phòng khách
light.turn_on,hallway,Turn on the hallway light,Bật đèn hành lang
light.turn_on,kitchen_1,Switch on the kitchen lights,Bật đèn nhà bếp
light.turn_on,kitchen_1,Turn on the kitchen light,Bật đèn nhà bếp
light.turn_on,kitchen_counter,Switch on the kitchen counter light,Bật đèn quầy bếp
light.turn_on,living_room,Turn on the living room light,Bật đèn phòng khách
light.turn_on,master_bedroom_1,Please activate the master bedroom light,Vui lòng kích hoạt đèn phòng ngủ chính
light.turn_on,office_1,Enable the office light,Bật đèn văn phòng
light.turn_on,patio,Enable the patio light,Bật đèn sân
light.turn_on,patio,Switch on the patio light,Bật đèn hiên
light.turn_on,patio,Turn on the patio light,Bật đèn sân
light.turn_on,pool,Activate the pool light,Kích hoạt ánh sáng hồ bơi
light.turn_on,pool,Turn on the pool light,Bật đèn hồ bơi
light.turn_on,shed,Activate the shed light,Kích hoạt ánh sáng
light.turn_on,shed,Switch on the shed light,Bật đèn chiếu sáng
light.turn_on,study,Activate the study light,Kích hoạt ánh sáng nghiên cứu
light.turn_on,dining_room_chandelier,Turn on the dining room light,Bật đèn phòng ăn
light.turn_on,chandelier_front_hallway,Hey can you turn on the front hallway chandelier,"Này, bạn có thể bật đèn chùm hành lang phía trước không"
lock.lock,back_door,Engage the back door lock,Tham gia khóa cửa sau
lock.lock,front_door,Lock the front door,Khóa cửa trước
lock.lock,nursery,Can you secure the nursery door,Bạn có thể bảo đảm cửa nhà trẻ không
lock.lock,office,Please lock the office,Vui lòng khóa văn phòng
lock.lock,wine_cellar,Could you lock the wine cellar,Bạn có thể khóa hầm rượu
lock.lock,front_door,Please lock the front door.,Vui lòng khóa cửa trước.
lock.lock,garage_door,I need the garage door locked.,Tôi cần cửa nhà để xe bị khóa.
lock.lock,main_gate,Ensure the main gate is locked.,Đảm bảo cổng chính bị khóa.
lock.lock,office_door,Can we lock the office door?,Chúng tôi có thể khóa cửa văn phòng không?
lock.lock,basement_door,Lock up the basement door.,Khóa cửa tầng hầm.
lock.lock,garden_gate,Please secure the garden gate.,Vui lòng bảo vệ cổng vườn.
lock.lock,cellar_door,Cellar door should be locked now.,Cửa hầm nên được khóa ngay bây giờ.
lock.lock,shed_door,Ensure the shed door is securely locked.,Đảm bảo cửa đổ được khóa an toàn.
lock.lock,laundry_room_door,Can you lock the laundry room door?,Bạn có thể khóa cửa phòng giặt không?
lock.lock,guest_room_door,Please lock the guest room door.,Vui lòng khóa cửa phòng khách.
lock.lock,fence_gate,Make sure the fence gate is locked.,Hãy chắc chắn rằng cổng hàng rào bị khóa.
lock.lock,attic_door,Attic door needs locking.,Cửa gác mái cần khóa.
lock.lock,storage_room_door,Please lock the storage room door.,Vui lòng khóa cửa phòng lưu trữ.
lock.lock,carport_gate,Carport gate needs to be locked.,Cổng xe cần phải bị khóa.
lock.lock,front_porch_door,Lock the front porch door.,Khóa cửa hiên trước.
lock.lock,wine_cellar,Ensure the wine cellar is locked.,Đảm bảo hầm rượu được khóa.
lock.lock,home_office,I'd like the home office locked up.,Tôi muốn văn phòng tại nhà bị khóa.
lock.lock,art_studio,The art studio should be locked.,Các studio nghệ thuật nên được khóa.
lock.lock,home_gym,Lock the home gym door.,Khóa cửa phòng tập thể dục tại nhà.
lock.lock,library_door,Please lock the library door.,Vui lòng khóa cửa thư viện.
lock.unlock,back_door,Could you disengage the back door lock,Bạn có thể thảnh thơi khóa cửa sau không
lock.unlock,bike_storage,Disengage the lock on the bike storage,Giải phóng khóa trên bộ lưu trữ xe đạp
lock.unlock,front_door,Unlock the front door,Mở khóa cửa trước
lock.unlock,office,Please unlock the office,Vui lòng mở khóa văn phòng
lock.unlock,tool_shed,Unlock the tool shed,Mở khóa công cụ đổ
lock.unlock,back_door,Can you unlock the back door?,Bạn có thể mở khóa cửa sau không?
lock.unlock,patio_door,"Unlock the patio door, please.",Vui lòng mở khóa cửa hiên.
lock.unlock,kitchen_window,Open the lock on the kitchen window.,Mở khóa trên cửa sổ nhà bếp.
lock.unlock,bedroom_window,Bedroom window needs to be unlocked.,Cửa sổ phòng ngủ cần được mở khóa.
lock.unlock,bathroom_window,Could you unlock the bathroom window?,Bạn có thể mở khóa cửa sổ phòng tắm không?
lock.unlock,rooftop_door,Open the rooftop door lock.,Mở khóa cửa trên sân thượng.
lock.unlock,pool_gate,I'd like the pool gate unlocked.,Tôi muốn mở khóa cổng hồ bơi.
lock.unlock,balcony_door,Unlock the balcony door for me.,Mở khóa cửa ban công cho tôi.
lock.unlock,nursery_door,The nursery door needs to be unlocked.,Cửa mẫu giáo cần được mở khóa.
lock.unlock,side_entrance,Unlock our side entrance.,Mở khóa lối vào bên của chúng tôi.
lock.unlock,garage_side_door,Garage side door should be unlocked.,Cửa bên nhà để xe nên được mở khóa.
lock.unlock,fire_escape,Can you unlock the fire escape?,Bạn có thể mở khóa lối thoát lửa không?
lock.unlock,boathouse_door,Unlock the boathouse door.,Mở khóa cửa Boathouse.
lock.unlock,backyard_gate,Can we have the backyard gate unlocked?,Chúng ta có thể mở khóa cổng sân sau không?
lock.unlock,back_terrace_door,Open the lock on the back terrace door.,Mở khóa trên cửa sân thượng phía sau.
lock.unlock,sunroom_door,Please unlock the sunroom door.,Vui lòng mở khóa cửa phòng tắm nắng.
lock.unlock,playroom_door,Can you unlock the playroom door?,Bạn có thể mở khóa cửa phòng chơi không?
lock.unlock,music_room,"Unlock the music room, please.",Vui lòng mở khóa phòng âm nhạc.
lock.unlock,cinema_room,Cinema room needs to be unlocked.,Phòng điện ảnh cần được mở khóa.
lock.unlock,conservatory,Can the conservatory be unlocked?,Nhạc viện có thể được mở khóa không?
media_player.media_next_track,living_room,Skip to the next track in the living room,Bỏ qua đường đua tiếp theo trong phòng khách
media_player.media_next_track,basement_home_theater,Skip to the next track in the basement.,Bỏ qua đường đua tiếp theo trong tầng hầm.
media_player.media_next_track,gym_music_player,Skip to the next song in the gym.,Bỏ qua bài hát tiếp theo trong phòng tập thể dục.
media_player.media_next_track,yoga_room_music,Next track for the yoga room music.,Ca khúc tiếp theo cho nhạc phòng yoga.
media_player.media_next_track,garden_music,Next track for the garden music.,Ca khúc tiếp theo cho âm nhạc vườn.
media_player.media_pause,master_bedroom,Pause the media in the master bedroom,Tạm dừng phương tiện truyền thông trong phòng ngủ chính
media_player.media_pause,bathroom_audio,Pause the bathroom audio.,Tạm dừng âm thanh phòng tắm.
media_player.media_pause,loft_tv,Pause the TV in the loft.,Tạm dừng TV trên gác xép.
media_player.media_pause,laundry_room_radio,Pause the radio in the laundry room.,Tạm dừng radio trong phòng giặt.
media_player.media_pause,corridor_intercom,Pause the corridor intercom.,Tạm dừng liên lạc hành lang.
media_player.media_play,nursery,Please play the media in the nursery,Vui lòng chơi các phương tiện truyền thông trong vườn ươm
media_player.media_play,patio_speaker,Start playing music on the patio speaker.,Bắt đầu chơi nhạc trên loa hiên.
media_player.media_play,sunroom_stereo,Play the stereo in the sunroom.,Chơi âm thanh nổi trong phòng tắm nắng.
media_player.media_play,kids_room_storyteller,Start the storyteller in the kids' room.,Bắt đầu người kể chuyện trong phòng trẻ em.
media_player.media_play,cellar_jukebox,Play the jukebox in the cellar.,Chơi máy tự động trong hầm.
media_player.media_previous_track,kitchen,Play the previous track in the kitchen,Chơi bài hát trước trong nhà bếp
media_player.media_previous_track,nursery_lullaby,Go back to the previous lullaby in the nursery.,Quay trở lại những bài hát ru trước đó trong vườn ươm.
media_player.media_previous_track,study_room_radio,Go back to the previous station in the study room.,Quay trở lại nhà ga trước trong phòng học.
media_player.media_previous_track,conservatory_cd_player,Previous track on the conservatory CD player.,Theo dõi trước đây về trình phát CD Nhạc viện.
media_player.media_previous_track,driveway_speakers,Previous track on the driveway speakers.,Theo dõi trước trên loa đường lái xe.
media_player.media_stop,nursery,Stop the media in the nursery,Dừng các phương tiện truyền thông trong vườn ươm
media_player.media_stop,guest_room_media,Stop the guest room media player.,Dừng người chơi phương tiện phòng khách.
media_player.media_stop,poolside_media,Stop the poolside media system.,Dừng hệ thống truyền thông bên hồ bơi.
media_player.media_stop,balcony_speakers,Stop the balcony speakers.,Dừng loa ban công.
media_player.media_stop,porch_sound_system,Stop the porch sound system.,Dừng hệ thống hiên nhà.
media_player.turn_off,kitchen_radio,Switch off the kitchen radio.,Tắt radio nhà bếp.
media_player.turn_off,lounge_entertainment,Switch off the lounge entertainment center.,Tắt Trung tâm giải trí phòng chờ.
media_player.turn_off,entryway_echo,Turn off the Echo in the entryway.,Tắt Echo ở lối vào.
media_player.turn_off,wine_cellar_speakers,Power off the speakers in the wine cellar.,Sức mạnh từ các loa trong hầm rượu.
media_player.turn_off,mudroom_media_player,Switch off the mudroom media player.,Tắt máy nghe phương tiện Mudroom.
media_player.turn_on,kitchen,Could you start the media in the kitchen,Bạn có thể bắt đầu các phương tiện truyền thông trong bếp không
media_player.turn_on,living_room,Activate the media in the living room,Kích hoạt phương tiện truyền thông trong phòng khách
media_player.turn_on,master_bedroom,Turn on the master bedroom media player,Bật trình phát phương tiện phòng ngủ chính
media_player.turn_on,living_room_tv,Please turn on the living room TV.,Vui lòng bật TV phòng khách.
media_player.turn_on,deck_music_system,Turn on the deck's music system.,Bật hệ thống âm nhạc của bộ bài.
media_player.turn_on,backyard_speakers,Turn on the backyard speakers.,Bật loa sân sau.
media_player.turn_on,foyer_sound_system,Power on the foyer sound system.,Sức mạnh trên hệ thống âm thanh sảnh.
media_player.turn_on,hallway_audio,Switch on the hallway audio system.,Bật hệ thống âm thanh hành lang.
media_player.volume_down,nursery,Turn down the volume in the nursery,Từ chối âm lượng trong vườn ươm
media_player.volume_down,office,Can you decrease the volume in the office,Bạn có thể giảm âm lượng trong văn phòng không
media_player.volume_down,office_sound_system,Lower the volume in the office.,Hạ khối lượng trong văn phòng.
media_player.volume_down,game_room_speakers,Turn down the game room speakers.,Bỏ qua loa phòng trò chơi.
media_player.volume_down,workshop_sound_system,Lower the sound system volume in the workshop.,Hạ âm lượng hệ thống âm thanh trong hội thảo.
media_player.volume_down,attic_audio_system,Decrease attic audio system volume.,Giảm khối lượng hệ thống âm thanh Attic.
media_player.volume_down,shed_sound_system,Turn down the shed sound system.,Bỏ xuống hệ thống âm thanh.
media_player.volume_mute,living_room,Mute the media player in the living room,Tắt tiếng người chơi truyền thông trong phòng khách
media_player.volume_mute,garage_stereo,Mute the stereo in the garage.,Tắt tiếng âm thanh nổi trong nhà để xe.
media_player.volume_mute,library_soundbar,Mute the soundbar in the library.,Tắt tiếng soundbar trong thư viện.
media_player.volume_mute,art_studio_player,Mute the media player in the art studio.,Mute The Media Player in the Art Studio.
media_player.volume_mute,boathouse_stereo,Mute the stereo in the boathouse.,Tắt tiếng âm thanh nổi trong Boathouse.
media_player.volume_mute,treehouse_speakers,Mute the treehouse speakers.,Tắt tiếng loa nhà trên cây.
media_player.volume_up,kitchen,Please raise the volume in the kitchen,Vui lòng nâng khối lượng trong nhà bếp
media_player.volume_up,living_room,Turn up the volume in the living room,Bật âm lượng trong phòng khách
media_player.volume_up,master_bedroom,Can you increase the volume on the master bedroom media player,Bạn có thể tăng âm lượng trên trình phát phương tiện phòng ngủ chính không
media_player.volume_up,bedroom_speaker,Can you increase the volume in the bedroom?,Bạn có thể tăng khối lượng trong phòng ngủ không?
media_player.volume_up,dining_area_jukebox,Increase the jukebox volume in the dining area.,Tăng khối lượng máy tự động trong khu vực ăn uống.
media_player.volume_up,rooftop_deck_audio,Raise the rooftop audio volume.,Tăng âm lượng âm thanh trên mái nhà.
media_player.volume_up,greenhouse_radio,Increase the greenhouse radio volume.,Tăng khối lượng radio nhà kính.
media_player.volume_up,utility_room_radio,Turn up the utility room radio.,Bật radio phòng tiện ích.
vacuum.start,kitchen,Please turn on the kitchen vacuum.,Vui lòng bật máy hút bụi trên bếp.
vacuum.start,living_room,Could you please activate the living room vacuum?,Bạn có thể vui lòng kích hoạt máy hút bụi phòng khách không?
vacuum.start,dining_room,The dining room vacuum needs to be started.,Các phòng ăn không cần phải bắt đầu.
vacuum.start,bedroom1,Let's start the vacuum in bedroom one.,Hãy bắt đầu máy hút bụi trong phòng ngủ.
vacuum.start,bedroom2,Can you please turn on the vacuum for bedroom two?,Bạn có thể vui lòng bật máy hút bụi cho phòng ngủ hai không?
vacuum.start,study,The study vacuum should be activated.,Các nghiên cứu máy hút bụi nên được kích hoạt.
vacuum.start,library,May I ask you to start the library vacuum?,Tôi có thể yêu cầu bạn bắt đầu máy hút bụi thư viện không?
vacuum.start,office,Please initiate the office vacuum.,Vui lòng bắt đầu máy hút bụi văn phòng.
vacuum.start,entrance_hall,Could you please turn on the entrance hall vacuum?,Bạn có thể vui lòng bật máy hút bụi vào hội trường không?
vacuum.start,sunroom,The sunroom vacuum needs to be started.,Máy hút bụi Sunroom cần được bắt đầu.
vacuum.start,patio,Let's activate the patio vacuum.,Hãy kích hoạt máy hút bụi hiên.
vacuum.start,garage,"Can we clean up the garage, please?",Chúng ta có thể dọn dẹp nhà để xe không?
vacuum.start,workshop,May I request you to turn on the workshop vacuum?,Tôi có thể yêu cầu bạn bật máy hút bụi hội thảo không?
vacuum.start,utility_room,Please clean the utility room.,Vui lòng làm sạch phòng tiện ích.
vacuum.start,mud_room,Could you please clean up the mud room?,Bạn có thể vui lòng dọn dẹp phòng bùn?
vacuum.start,powder_room,The powder room needs to be cleaned.,Phòng bột cần được làm sạch.
vacuum.start,hallway,Let's turn on the hallway vacuum.,Hãy bật máy hút bụi trên hành lang.
vacuum.start,staircase,Can we please start the staircase vacuum?,Chúng tôi có thể vui lòng bắt đầu máy hút bụi cầu thang không?
vacuum.start,balcony,May I ask you to clean the balcony?,Tôi có thể yêu cầu bạn làm sạch ban công không?
vacuum.start,roof_deck,Please roof deck is dirty.,Xin vui lòng sàn nhà bị bẩn.
vacuum.start,attic,Let's start the attic vacuum.,Hãy bắt đầu máy hút bụi gác mái.
vacuum.start,basement,"Can we turn on the basement vacuum, please?",Chúng ta có thể bật máy hút bụi trên tầng hầm không?
vacuum.start,pool_area,The pool area vacuum needs to be started.,Các khu vực hồ bơi cần phải được bắt đầu.
vacuum.start,garden,Could you please activate the garden vacuum?,Bạn có thể vui lòng kích hoạt máy hút bụi vườn?
vacuum.start,terrace,May I request you to start the terrace vacuum?,Tôi có thể yêu cầu bạn bắt đầu máy hút bụi sân thượng không?
vacuum.start,porch,Please initiate the porch vacuum.,Vui lòng bắt đầu khoảng trống hiên nhà.
vacuum.start,shed,"Can we turn on the shed vacuum, please?","Chúng ta có thể bật máy hút bụi, xin vui lòng?"
vacuum.start,workshop2,The second workshop is pretty dirty right now.,Hội thảo thứ hai khá bẩn ngay bây giờ.
vacuum.start,studio,May I ask you to start the studio vacuum?,Tôi có thể yêu cầu bạn bắt đầu máy hút bụi phòng thu không?
vacuum.start,greenhouse,Please initiate the greenhouse vacuum.,Vui lòng bắt đầu khoảng trống nhà kính.
vacuum.start,potting_shed,"Can we turn on the potting shed vacuum, please?",Chúng ta có thể bật máy hút bụi chậu không được không?
vacuum.start,summer_house,The summer house vacuum needs to be started.,Máy hút bụi của ngôi nhà mùa hè cần phải được bắt đầu.
vacuum.start,garage2,Let's start the second garage vacuum.,Hãy bắt đầu khoảng trống nhà để xe thứ hai.
vacuum.start,tool_shed,May I request you to activate the tool shed vacuum?,Tôi có thể yêu cầu bạn kích hoạt máy hút bụi nhà kho dụng cụ không?
vacuum.start,barn,Could we please turn on the barn vacuum?,Chúng ta có thể vui lòng bật máy hút bụi chuồng không?
vacuum.start,wine_cellar,The wine cellar should be cleaned.,Các hầm rượu nên được làm sạch.
vacuum.start,storage_room,Let's initiate the storage room cleanup.,Hãy bắt đầu dọn dẹp phòng lưu trữ.
vacuum.start,greenhouse2,May I ask you to activate the second greenhouse vacuum?,Tôi có thể yêu cầu bạn kích hoạt máy hút bụi nhà kính thứ hai không?
vacuum.start,boat_house,Please turn on the boat house vacuum.,Vui lòng bật máy hút bụi nhà thuyền.
vacuum.start,marina,Could we please start the marina vacuum?,Chúng ta có thể vui lòng bắt đầu máy hút bụi?
vacuum.start,bb8,Turn on BB8.,Bật BB8.
vacuum.start,c3po,Can you start C3PO?,Bạn có thể bắt đầu C3PO không?
vacuum.start,hal,Please turn on Hal.,Vui lòng bật Hal.
vacuum.start,r2d2,Can you tell R2D2 to clean up?,Bạn có thể nói với R2D2 để dọn dẹp?
light.turn_off,bar_light,Please switch off the bar light,Vui lòng tắt đèn quầy bar
light.turn_off,bar_light,Turn off bar light,Tắt đèn quầy bar
light.turn_off,bar_light,Turn off the bar light,Tắt đèn quầy bar
light.turn_off,dining_room_light,Deactivate dining room light,Đã hủy kích hoạt đèn phòng ăn
light.turn_off,dining_room_light,Shut off dining room light,Tắt đèn phòng ăn
light.turn_off,front_light,Can we power down the front light?,Chúng ta có thể cung cấp năng lượng cho ánh sáng phía trước không?
light.turn_off,front_light,Can we turn down the front light?,Chúng ta có thể tắt đèn trước không?
light.turn_off,front_light,Can you turn off the lights on the front?,Bạn có thể tắt đèn ở mặt trước không?
light.turn_off,gym_light,Can you shut off the gym light?,Bạn có thể tắt đèn tập thể dục không?
light.turn_off,gym_light,Can you turn off the gym light?,Bạn có thể tắt đèn tập thể dục không?
light.turn_off,gym_light,Could we turn off the gym lights?,Chúng ta có thể tắt đèn tập thể dục không?
light.turn_off,island_light,Could you disable the island light,Bạn có thể vô hiệu hóa ánh sáng đảo không
light.turn_off,island_light,Deactivate the island light,Hủy kích hoạt ánh sáng đảo
light.turn_off,island_light,Deactivate the island area lighting.,Vô hiệu hóa ánh sáng khu vực đảo.
light.turn_off,kitchen_light,Deactivate the kitchen light,Vô hiệu hóa đèn nhà bếp
light.turn_off,kitchen_light,Deactivate the lights at the kitchen.,Vô hiệu hóa đèn ở bếp.
light.turn_off,kitchen_light,Disable the lights in the kitchen.,Tắt đèn trong nhà bếp.
light.turn_off,living_room_light,living room light off,phòng khách tắt đèn
light.turn_off,living_room_light,Disable the living room lights.,Tắt đèn phòng khách.
light.turn_off,living_room_light,Please disable the living room light.,Vui lòng vô hiệu hóa đèn phòng khách.
light.turn_off,main_basement_light,Please extinguish the main basement light,Vui lòng dập tắt ánh sáng tầng hầm chính
light.turn_off,main_basement_light,Please power down the lights in the main basement.,Vui lòng cung cấp năng lượng cho đèn trong tầng hầm chính.
light.turn_off,main_basement_light,Please switch off the main basement light,Vui lòng tắt đèn tầng hầm chính
light.turn_off,man_cave_light,Please switch off the man cave area lights.,Vui lòng tắt đèn khu vực hang động.
light.turn_off,man_cave_light,Please turn off the man cave lights.,Vui lòng tắt đèn hang động.
light.turn_off,man_cave_light,Please turn off the man cave light.,Vui lòng tắt đèn hang động.
light.turn_off,master_bedroom_light,Power off the lights in the master bedroom.,Nguồn tắt đèn trong phòng ngủ chính.
light.turn_off,master_bedroom_light,Set the master bedroom lights to off.,Đặt đèn phòng ngủ chính để tắt.
light.turn_off,master_bedroom_light,Shut down the master bedroom lights.,Tắt đèn phòng ngủ chính.
light.turn_off,pool_table_light,Shut down the pool table light,Tắt đèn bàn bi -a
light.turn_off,pool_table_light,Switch off the pool table light,Tắt đèn bàn bi -a
light.turn_off,pool_table_light,Switch off the pool table light please,Làm ơn tắt đèn bàn bi -a
light.turn_off,pool_table_light,Switch off the pool table light now,Tắt đèn bàn bi -a ngay bây giờ
light.turn_off,pool_table_light,Switch off the pool table lights,Tắt đèn bàn bi -a
light.turn_off,pool_table_light,Switch off the light in the pool table,Tắt đèn trong bàn bi -a
light.turn_off,pool_table_light,Switch off the pool table light,Tắt đèn bàn bi -a
light.turn_off,pool_table_light,Turn off the pool table light,Tắt đèn bàn bi -a
