giờservice,response,language,persona,short,response_vi
lock.lock,Locking the door for you.,en,assistant,0,Khóa cửa cho bạn.
lock.lock,I'll go ahead and lock the door.,en,assistant,0,Tôi sẽ đi trước và khóa cửa.
lock.lock,"Sure, securing the lock.",en,assistant,0,"Chắc chắn, đảm bảo khóa."
lock.unlock,Unlocking the door as you requested.,en,assistant,0,Mở khóa cửa như bạn yêu cầu.
lock.unlock,I'll unlock the door for you.,en,assistant,0,Tôi sẽ mở khóa cửa cho bạn.
lock.unlock,"Sure, unlocking the door.",en,assistant,0,"Chắc chắn, mở khóa cửa."
lock.lock,Engaging lock on <device_name>,en,assistant,0,Khóa hấp dẫn trên <device_name>
lock.lock,Locking <device_name> now,en,assistant,0,Khóa <device_name> bây giờ
lock.lock,Securing <device_name> for you,en,assistant,0,Đảm bảo <device_name> cho bạn
lock.lock,Locking <device_name>,en,assistant,0,Khóa <device_name>
lock.lock,Securing <device_name>,en,assistant,0,Đảm bảo <device_name>
lock.unlock,Disengaging lock on <device_name>,en,assistant,0,Thảnh thơi trên <device_name>
lock.unlock,Unlocking <device_name> now,en,assistant,0,Mở khóa <device_name> ngay bây giờ
lock.unlock,Unsecuring <device_name> for you,en,assistant,0,Không an toàn <device_name> cho bạn
lock.unlock,Unlocking <device_name>,en,assistant,0,Mở khóa <device_name>
media_player.turn_on,Turning on the media player for you.,en,assistant,0,Bật trình phát phương tiện cho bạn.
media_player.turn_on,I'll get the media player going.,en,assistant,0,Tôi sẽ đưa trình phát phương tiện đi.
media_player.turn_on,"Sure, activating the media player.",en,assistant,0,"Chắc chắn, kích hoạt trình phát phương tiện."
media_player.turn_off,Turning off the media player as requested.,en,assistant,0,Tắt trình phát phương tiện theo yêu cầu.
media_player.turn_off,I'll switch off the media player.,en,assistant,0,Tôi sẽ tắt trình phát phương tiện.
media_player.turn_off,"Sure, deactivating the media player.",en,assistant,0,"Chắc chắn, hủy kích hoạt trình phát phương tiện."
media_player.volume_up,Increasing the volume for you.,en,assistant,0,Tăng khối lượng cho bạn.
media_player.volume_up,"Sure, turning up the volume now.",en,assistant,0,"Chắc chắn, bật lên âm lượng ngay bây giờ."
media_player.volume_up,I'll go ahead and raise the volume.,en,assistant,0,Tôi sẽ tiếp tục và nâng âm lượng.
media_player.volume_down,Reducing the volume as you requested.,en,assistant,0,Giảm khối lượng như bạn yêu cầu.
media_player.volume_down,I'll turn down the volume for you.,en,assistant,0,Tôi sẽ từ chối âm lượng cho bạn.
media_player.volume_down,"Sure, lowering the volume.",en,assistant,0,"Chắc chắn, hạ thấp khối lượng."
media_player.volume_mute,Muting the volume for you.,en,assistant,0,Tắt âm lượng cho bạn.
media_player.volume_mute,I'll mute the media player now.,en,assistant,0,Tôi sẽ tắt tiếng trình phát phương tiện ngay bây giờ.
media_player.volume_mute,"Sure, muting the volume.",en,assistant,0,"Chắc chắn, tắt âm lượng."
media_player.media_play_pause,Toggling play/pause on the media player.,en,assistant,0,Chuyển đổi chơi/tạm dừng trên trình phát phương tiện.
media_player.media_play_pause,Switching between play and pause.,en,assistant,0,Chuyển đổi giữa chơi và tạm dừng.
media_player.media_play,Starting media playback.,en,assistant,0,Bắt đầu phát lại phương tiện truyền thông.
media_player.media_play,I'll start playing the media for you.,en,assistant,0,Tôi sẽ bắt đầu chơi phương tiện truyền thông cho bạn.
media_player.media_play,"Sure, beginning playback.",en,assistant,0,"Chắc chắn, bắt đầu phát lại."
media_player.media_pause,Pausing the media playback.,en,assistant,0,Tạm dừng phát lại phương tiện truyền thông.
media_player.media_pause,I'll pause the media for you.,en,assistant,0,Tôi sẽ tạm dừng phương tiện truyền thông cho bạn.
media_player.media_pause,"Sure, pausing playback.",en,assistant,0,"Chắc chắn, phát lại tạm dừng."
media_player.media_stop,Stopping the media playback.,en,assistant,0,Dừng phát lại phương tiện truyền thông.
media_player.media_stop,I'll stop the media for you.,en,assistant,0,Tôi sẽ dừng phương tiện truyền thông cho bạn.
media_player.media_stop,"Sure, halting playback.",en,assistant,0,"Chắc chắn, tạm dừng phát lại."
media_player.media_next_track,Skipping to the next track.,en,assistant,0,Bỏ qua đường đua tiếp theo.
media_player.media_next_track,I'll go to the next track for you.,en,assistant,0,Tôi sẽ đi đến bài hát tiếp theo cho bạn.
media_player.media_next_track,"Sure, moving to the next track.",en,assistant,0,"Chắc chắn, chuyển sang bài hát tiếp theo."
media_player.media_previous_track,Going back to the previous track.,en,assistant,0,Quay trở lại bài hát trước.
media_player.media_previous_track,I'll return to the previous track for you.,en,assistant,0,Tôi sẽ trở lại bài hát trước cho bạn.
media_player.media_previous_track,"Sure, reverting to the previous track.",en,assistant,0,"Chắc chắn, trở lại theo dõi trước đó."
media_player.volume_up,Increasing <device_name>'s volume.,en,assistant,0,Tăng khối lượng <humidity>.
media_player.volume_up,Turning up <device_name> a bit.,en,assistant,0,Bật lên <device_name> một chút.
media_player.volume_up,Making <device_name> louder.,en,assistant,0,Làm cho <device_name> to hơn.
media_player.media_play,Starting playback on <device_name>.,en,assistant,0,Bắt đầu phát lại trên <device_name>.
media_player.media_play,Playing <device_name> now.,en,assistant,0,Chơi <device_name> bây giờ.
media_player.media_play,Playing media on <device_name>.,en,assistant,0,Chơi phương tiện trên <device_name>.
media_player.media_stop,Stopping <device_name> completely.,en,assistant,0,Dừng <device_name> hoàn toàn.
media_player.media_stop,Stopping playback on <device_name>.,en,assistant,0,Ngừng phát lại trên <device_name>.
media_player.media_stop,Ending session on <device_name>.,en,assistant,0,Phiên kết thúc trên <device_name>.
media_player.volume_down,Lowering <device_name>'s volume.,en,assistant,0,Hạ âm lượng của <humidity>.
media_player.volume_down,Decreasing <device_name>'s volume.,en,assistant,0,Giảm khối lượng <humidity> của.
media_player.volume_down,Turning down <device_name>.,en,assistant,0,Từ chối <device_name>.
media_player.volume_mute,Muting <device_name>.,en,assistant,0,Tắt tiếng <device_name>.
media_player.volume_mute,Silencing <device_name>.,en,assistant,0,Im lặng <device_name>.
media_player.volume_mute,Muting <device_name> now.,en,assistant,0,Tắt tiếng <device_name> bây giờ.
media_player.media_pause,Pausing <device_name>.,en,assistant,0,Tạm dừng <device_name>.
media_player.media_pause,Pausing <device_name> now.,en,assistant,0,Tạm dừng <device_name> bây giờ.
media_player.media_pause,Holding playback on <device_name>.,en,assistant,0,Giữ phát lại trên <device_name>.
media_player.media_next_track,Skipping to next track on <device_name>.,en,assistant,0,Bỏ qua theo dõi tiếp theo trên <device_name>.
media_player.media_next_track,Advancing to the next song on <device_name>.,en,assistant,0,Tiến lên bài hát tiếp theo trên <device_name>.
media_player.media_next_track,Skipping this track on <device_name>.,en,assistant,0,Bỏ qua bản nhạc này trên <device_name>.
media_player.media_previous_track,Going back to previous track on <device_name>.,en,assistant,0,Quay trở lại bản nhạc trước trên <device_name>.
media_player.media_previous_track,Rewinding to the previous song on <device_name>.,en,assistant,0,Tua lại bài hát trước trên <device_name>.
media_player.media_previous_track,Going back a track on <device_name>.,en,assistant,0,Quay lại một bài hát trên <device_name>.
switch.turn_on,Turning on the switch for you.,en,assistant,0,Bật công tắc cho bạn.
switch.turn_on,"Sure, I'll turn on the light now.",en,assistant,0,"Chắc chắn, tôi sẽ bật đèn ngay bây giờ."
switch.turn_on,I'll go ahead and turn the switch on.,en,assistant,0,Tôi sẽ tiếp tục và bật công tắc.
switch.turn_off,Turning off the switch as requested.,en,assistant,0,Tắt công tắc theo yêu cầu.
switch.turn_off,I'll switch off the device for you.,en,assistant,0,Tôi sẽ tắt thiết bị cho bạn.
switch.turn_off,"Sure, turning off the switch.",en,assistant,0,"Chắc chắn, tắt công tắc."
switch.turn_on,Turning on <device_name> now.,en,assistant,0,Bật <device_name> ngay bây giờ.
switch.turn_on,I'm turning on <device_name>.,en,assistant,0,Tôi đang bật <device_name>.
switch.turn_on,Activating <device_name>.,en,assistant,0,Kích hoạt <device_name>.
switch.turn_on,"Sure, turning <device_name> on.",en,assistant,0,"Chắc chắn, bật <device_name>."
switch.turn_on,Switching on <device_name> right away.,en,assistant,0,Bật <device_name> ngay lập tức.
switch.turn_on,"Sure, lighting up <device_name> now.",en,assistant,0,"Chắc chắn, thắp sáng <device_name> bây giờ."
switch.turn_on,Turning <device_name> on as needed.,en,assistant,0,Bật <device_name> khi cần thiết.
switch.turn_off,Switching off <device_name>.,en,assistant,0,Tắt <device_name>.
switch.turn_off,Turning off <device_name>.,en,assistant,0,Tắt <device_name>.
switch.turn_off,Deactivating <device_name>.,en,assistant,0,Vô hiệu hóa <device_name>.
switch.turn_off,"Okay, turning <device_name> off.",en,assistant,0,"Được rồi, tắt <device_name>."
switch.turn_off,"Okay, I'm turning off <device_name>.",en,assistant,0,"Được rồi, tôi đang tắt <device_name>."
switch.turn_off,Shutting off <device_name> for bedtime.,en,assistant,0,Tắt <device_name> cho giờ đi ngủ.
switch.turn_off,Turning off <device_name> now.,en,assistant,0,Tắt <device_name> ngay bây giờ.
blinds.close,shutting <device_name>,en,assistant,1,Tắt <device_name>
blinds.close,lowering <device_name>,en,assistant,1,hạ thấp <device_name>
blinds.close,closing <device_name>,en,assistant,1,Đóng <device_name>
blinds.open,raising <device_name>,en,assistant,1,Nâng cao <device_name>
blinds.open,lifting <device_name>,en,assistant,1,Nâng <device_name>
blinds.open,opening <device_name>,en,assistant,1,Mở đầu <device_name>
fan.decrease_speed,slowing down <device_name>,en,assistant,1,làm chậm <device_name>
fan.decrease_speed,reducing speed of <device_name>,en,assistant,1,Giảm tốc độ <device_name>
fan.decrease_speed,reducing <device_name>,en,assistant,1,Giảm <device_name>
fan.increase_speed,speeding up <device_name>,en,assistant,1,Tăng tốc <device_name>
fan.increase_speed,increasing speed of <device_name>,en,assistant,1,Tăng tốc độ <device_name>
fan.increase_speed,ramping up <device_name>,en,assistant,1,tăng cường <device_name>
fan.turn_off,stopping <device_name>,en,assistant,1,Dừng <device_name>
fan.turn_off,turning off <device_name>,en,assistant,1,Tắt <device_name>
fan.turn_off,deactivating <device_name>,en,assistant,1,vô hiệu hóa <device_name>
fan.turn_on,starting <device_name>,en,assistant,1,Bắt đầu <device_name>
fan.turn_on,activating <device_name>,en,assistant,1,Kích hoạt <device_name>
garage_door.close,shutting <device_name>,en,assistant,1,Tắt <device_name>
garage_door.close,deactivating <device_name>,en,assistant,1,vô hiệu hóa <device_name>
garage_door.close,closing <device_name>,en,assistant,1,Đóng <device_name>
garage_door.open,opening <device_name>,en,assistant,1,Mở đầu <device_name>
garage_door.open,lifting <device_name>,en,assistant,1,Nâng <device_name>
garage_door.stop,stopping <device_name>,en,assistant,1,Dừng <device_name>
light.turn_off,turning off <device_name>,en,assistant,1,Tắt <device_name>
light.turn_off,deactivating <device_name>,en,assistant,1,vô hiệu hóa <device_name>
light.turn_off,lowering <device_name>,en,assistant,1,hạ thấp <device_name>
light.turn_off,switching off <device_name>,en,assistant,1,Tắt <device_name>
light.turn_on,turning on <device_name>,en,assistant,1,Bật <device_name>
light.turn_on,activating <device_name>,en,assistant,1,Kích hoạt <device_name>
light.turn_on,switching on <device_name>,en,assistant,1,Bật <device_name>
light.turn_on,turning on both <device_name>,en,assistant,1,Bật cả <device_name>
lock.lock,securing <device_name>,en,assistant,1,Đảm bảo <device_name>
lock.lock,locking <device_name>,en,assistant,1,Khóa <device_name>
lock.unlock,unlocking <device_name>,en,assistant,1,Mở khóa <device_name>
lock.unlock,unsecuring <device_name>,en,assistant,1,không an toàn <device_name>
blinds.open,Openin' the blinds for ye.,en,pirate,0,Mở 'Rèm cho các bạn.
blinds.open,"Aye, I'll be openin' the blinds.",en,pirate,0,"Aye, tôi sẽ mở 'rèm."
blinds.open,"Aye, openin' the blinds now.",en,pirate,0,"Aye, Openin 'The Rèm bây giờ."
blinds.close,Closin' the blinds as ye requested.,en,pirate,0,Đóng 'Rèm như bạn yêu cầu.
blinds.close,I'll be closin' the blinds for ye.,en,pirate,0,Tôi sẽ đóng cửa 'rèm cho các ngươi.
blinds.close,"Aye, closin' the blinds.",en,pirate,0,"Aye, đóng cửa 'rèm."
blinds.stop,Stopin' the blinds now.,en,pirate,0,Ngăn chặn rèm bây giờ.
blinds.stop,I'll halt the blinds for ye.,en,pirate,0,Tôi sẽ tạm dừng rèm cho các bạn.
blinds.stop,"Aye, haltin' the blinds' movement.",en,pirate,0,"Aye, chuyển động của Rèm '."
blinds.open,Liftin' <device_name> blinds yarr,en,pirate,0,Liftin '<device_name> rèm yarr
blinds.open,Openin' <device_name> now,en,pirate,0,Openin '<device_name> bây giờ
blinds.open,Raisin' <device_name> for ye,en,pirate,0,Raisin '<device_name> cho các ngươi
blinds.stop,Freezin' <device_name> position,en,pirate,0,Vị trí freezin '<device_name>
blinds.stop,Haltin' <device_name> now,en,pirate,0,Halton '<device_name> bây giờ
blinds.stop,Stoppin' <device_name> operation,en,pirate,0,Stoppin '<device_name> hoạt động
blinds.open,Raisin' <device_name>,en,pirate,0,Nho khô '<device_name>
blinds.close,Closin' <device_name> for ye,en,pirate,0,Closin '<device_name> cho các bạn
blinds.close,Lowerin' <device_name> now,en,pirate,0,Lowerin '<device_name> bây giờ
blinds.close,Shuttin' <device_name> yarr,en,pirate,0,Shuttin '<device_name> yarr
blinds.close,Lowerin' <device_name>,en,pirate,0,Hạ thấp '<device_name>
climate.set_humidity,"Yarrr, rampin' up humidity to <humidity>, by the sea!",en,pirate,0,"Yarrr, tăng độ ẩm lên <device_name>, bên bờ biển!"
climate.set_humidity,"Arrr, settin' humidity to <humidity> percent, as ye wish!",en,pirate,0,"Arrr, giải quyết độ ẩm cho <device_name> phần trăm, như bạn ước!"
climate.set_humidity,"By Davy Jones' locker, adjustin' humidity to <humidity>%!",en,pirate,0,"Bởi tủ khóa của Davy Jones, điều chỉnh độ ẩm thành <humidity>%!"
climate.set_fan_mode,"Hoistin' the fan to <fan_mode> speed, swifter than a sloop!",en,pirate,0,"Houston 'quạt đến <fan_mode> Tốc độ, Swifter hơn một khẩu hiệu!"
climate.set_fan_mode,"Arr, puttin' the fan on <fan_mode>, steady as she goes!",en,pirate,0,"Mảng, puttin 'quạt trên <device_name>, ổn định khi cô ấy đi!"
climate.set_fan_mode,"Shiver me timbers, changin' the fan to <fan_mode> setting!",en,pirate,0,"Rùng mình gỗ, thay đổi 'quạt thành <fan_mode> cài đặt!"
climate.set_hvac_mode,"Blimey, switchin' to <hvac_mode> mode, full sail ahead!",en,pirate,0,"Blimey, chuyển sang chế độ <hvac_mode>, đi thuyền đầy đủ phía trước!"
climate.set_hvac_mode,"Arrr, settin' the HVAC to <hvac_mode>, steady as she goes!",en,pirate,0,"Arrr, giải quyết HVAC đến <device_name>, ổn định khi cô ấy đi!"
climate.set_hvac_mode,"By the powers, changin' HVAC to <hvac_mode> mode!",en,pirate,0,"Bằng các quyền lực, Changin 'HVac thành <hvac_mode> Chế độ!"
climate.set_temperature,"Arr, settin' temperature to <temp_f> degrees, as warm as the Caribbean sun!",en,pirate,0,"Mảng, giải quyết nhiệt độ đến <device_name> độ, ấm như mặt trời Caribbean!"
